"Fiscal Year Ended","Taxing Jurisdiction","Amount Distributed","Jurisdiction Sort Order"
"2022","Wyoming County Sales and Use Tax","$23,337,611","59"
"2022","Yates County Sales and Use Tax","$18,337,721","60"
"2022","City of Auburn Sales and Use Tax","$11,012,233","61"
"2022","City of Corning Sales and Use Tax","$20,598","62"
"2022","City of Fulton Sales and Use Tax","$647","63"
"2022","City of Geneva Sales and Use Tax","$225","64"
"2022","City of Glens Falls Sales and Use Tax","$4,160,281","65"
"2022","City of Gloversville Sales and Use Tax","$4,551,525","66"
"2022","City of Hornell Sales and Use Tax","$1,950","67"
"2022","City of Ithaca Sales and Use Tax","$13,063,365","68"
"2022","City of Johnstown Sales and Use Tax","$4,814,818","69"
"2022","City of Mount Vernon Sales and Use Tax","$28,147,273","70"
"2022","City of New Rochelle Sales and Use Tax","$38,212,155","71"
"2022","City of Norwich Sales and Use Tax","$2,341,244","72"
"2022","City of Ogdensburg Sales and Use Tax","$4","73"
"2022","City of Olean Sales and Use Tax","$5,406,932","74"
"2022","City of Oneida Sales and Use Tax","$6,379,884","75"
"2022","City of Oswego Sales and Use Tax","$17,249,883","76"
"2022","City of Rome Sales and Use Tax","$9,653,855","77"
"2022","City of Salamanca Sales and Use Tax","$855,063","78"
"2022","City of Saratoga Springs Sales and Use Tax","$15,176,535","79"
"2022","City of Sherrill Sales and Use Tax","$37","80"
"2022","City of Utica Sales and Use Tax","$13,269,700","81"
"2022","City of White Plains Sales and Use Tax","$53,116,047","82"
"2022","City of Yonkers Sales and Use Tax","$77,521,528","83"
"2022","City of Yonkers Special Sales and Use Tax","$38,774,171","84"
"2022","City of Newburgh Consumer Utilities","$1,225,124","85"
"2022","City of Port Jervis Consumer Utilities","$412,282","86"
"2022","Albany City School District Consumer Utilities","$4,143,857","87"
"2022","Batavia City School District Consumer Utilities","$758,319","88"
"2022","Cohoes City School District Consumer Utilities","$607,028","89"
"2022","Glen Cove City School District Consumer Utilities","$1,507,876","90"
"2022","Gloversville City School District Consumer Utilities","$634,746","91"
"2022","Hornell City School District Consumer Utilities","$321,121","92"
"2022","Hudson City School District Consumer Utilities","$706,382","93"
"2022","Johnstown City School District Consumer Utilities","$504,325","94"
"2022","Lackawanna City School District Consumer Utilities","$563,542","95"
"2022","Long Beach City School District Consumer Utilities","$1,743,725","96"
"2022","Middletown City School District Consumer Utilities","$2,251,307","97"
"2022","Mt. Vernon City School District Consumer Utilities","$3,203,375","98"
"2022","New Rochelle City School District Consumer Utilities","$3,831,928","99"
"2022","Newburgh City School District Consumer Utilities","$2,761,467","100"
"2022","Niagara Falls City School District Consumer Utilities","$1,975,688","101"
"2022","Ogdensburg City School District Consumer Utilities","$348,978","102"
"2022","Peekskill City School District Consumer Utilities","$1,056,168","103"
"2022","Rensselaer City School District Consumer Utilities","$426,975","104"
"2022","Rye City School District Consumer Utilities","$934,800","105"
